SUV,Nissan,Terra,11,1524000,Colors Available: Orange / Red / Yellow
SUV,Ford,Explorer,10,2798000,Colors Available: Black / Blue / Dark Green
SUV,Isuzu ,Crosswind,6,750000,Colors Available: White / Blue / Silver
SUV,Isuzu ,MUX,5,1350000,Colors Available: White / Blue / Silver
SUV,Toyota,Innova,1,1186000,Colors Available: Black / Blue / Dark Green
SUV,Kia,Sorento,2,1895000,Colors Available: Orange / Red / Yellow
SUV,Toyota,Rush,9,1100000,Colors Available: Black / Blue / Dark Green
SUV,Toyota ,RAV4,8,1710000,Colors Available: White / Blue / Silver
SUV,Toyota ,Fortuner,5,1633000,Colors Available: Orange / Red / Yellow
SUV,Mitsubishi,Montero Sport,10,1568000,Colors Available: White / Blue / Silver
Pick-Up Truck,Ford,Ranger,11,1150000,Colors Available: White / Blue / Silver
Pick-Up Truck,Nissan,Navarra,11,929000,Colors Available: Orange / Red / Yellow
Pick-Up Truck,Toyota,Hilux,2,843000,Colors Available: White / Blue / Silver
Pick-Up Truck,Chevrolet,Colorado,10,1200000,Colors Available: Black / Blue / Dark Green
Pick-Up Truck,Isuzu,D-Max,13,850000,Colors Available: Black / Blue / Dark Green
Pick-Up Truck,Mazda,BT-50,5,1350000,Colors Available: White / Blue / Silver
Pick-Up Truck,Mitsubishi,Strada,12,815000,Colors Available: White / Blue / Silver
Pick-Up Truck,JAC,T6,11,1090000,Colors Available: Orange / Red / Yellow
Pick-Up Truck,Ford,Ranger Raptor,5,1199888,Colors Available: White / Blue / Silver
Pick-Up Truck,Ford,F-150,2,2998000,Colors Available: Black / Blue / Dark Green
Sedan,Toyota,Vios,22,1002000,Colors Available: White / Blue / Silver
Sedan,Hyundai,Accent,11,1038000,Colors Available: Orange / Red / Yellow
Sedan,Toyota,Corola Altis,33,1610000,Colors Available: White / Blue / Silver
Sedan,Honda,Civic,23,1615000,Colors Available: Black / Blue / Dark Green
Sedan,Honda ,City,14,1058000,Colors Available: White / Blue / Silver
Sedan,Nissan,Mirage,23,869000,Colors Available: White / Blue / Silver
Sedan,Nissan,Almera,25,933000,Colors Available: Orange / Red / Yellow
Sedan,Hyundai,Reina,21,733000,Colors Available: White / Blue / Silver
Sedan,Nissan,R34,3,7350000,Colors Available: Black / Blue / Dark Green
Sedan,Ford ,Mustang,2,2838000,Colors Available: White / Blue / Silver
MPV,Mitsubishi,Xpander,32,1128000,Colors Available: Red / White / Gray
MPV,Suzuki,XL7,48,1073000,Colors Available: Khaki / Orange / White
MPV,Mercedes Benz,V-Class,8,4690000,Colors Available: White / Gray / Blue
Hatchback,Toyota,Wigo,54,700000,Colors Available: Yellow / Orange / Black
Hatchback,Suzuki,S-Presso,17,523000,Colors Available: Orange / White / Gray
Hatchback,Honda,Civic Type-R,21,3180000,Colors Available: White / Black / Red
Hatchback,Audi,A3,5,2790000,Colors Available: Black / Metallic Blue / White
Hatchback,Honda,Brio,3,735000,Colors Available: White / Orange / Red
Coupe,Chevrolet,Camaro,4,3299000,Colors Available: Red / Yellow / Black
Coupe,Nissan,GT-R,3,7350000,Colors Available: Red / White / Black
Coupe,Rolls-Royce,Wraith,5,20000000,Colors Available: Black / White / Blue
Coupe,Maserati,Granturismo,7,4532580,Colors Available: Eldorado / Fuji / Carbonio
Van,Toyota,Hiace,6,2998000,Colors Available: White / Gray / Black
Van,Mitsubishi,L300,12,804000,Colors Available: White
Van,Toyota,Coaster,2,3748000,Colors Available: White
Van,Maxus,G10,5,1790000,Colors Available: Silver / White / Gold
Van,Foton,Transvan,10,1263000,Colors Available: Black / Gray / White
Station Wagon,Mini,Clubman,21,4650000,Colors Available: Green / Red / Burgundy
Station Wagon,Mazda,6 Wagon,24,1995000,Colors Available: White / Gray / Red
Station Wagon,Audi,RS 6 Avant,34,11800000,Colors Available: Blue / Gray / Black
